Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
NBR,CryptoNight,PoW,133932467.774108,336000000.0,0.3052101539321874,-2.3277822899819176,0.24356279321986887,0,Niobio Cash
SSS,Scrypt,PoW,10000000000.0,10000000000.0,0.022128733445815563,-1.0999909394002418,-0.019591852926777592,0,ShareChain
TRF,Dagger,PoW,107325266.027783,100000000.0,-0.1627609237155608,-2.156390298594951,0.2973468425602598,0,Travelflex
KREDS,Lyra2REv2,PoW,643795911.540095,1100000000.0,-0.18862916910778735,-1.2119586433179916,0.21503879381012161,0,KREDS
TOKC,X13,PoS,230298925.0,800000000.0,-0.21173430661127138,1.602570038711259,-0.23710373556512476,1,Tokyo Coin
BBP,Proof-of-BibleHash,POBh,1772091549.88818,5200000000.0,-0.11815591080962837,0.5146479181406627,12.80815892546655,3,BiblePay
LCC,SHA-256 + Hive,PoW + Hive,638382332.208514,840000000.0,-0.35736637767521495,2.9135947536918705,15.13408500851913,3,LitecoinCash
FLIP,Scrypt,PoW,12446100.00278,40000000.0,-0.17064096609491863,-1.0974100255734882,-0.016404592271469093,0,BitFlip
LOT,Scrypt,PoW,14491014421.0,18406979840.0,0.13668995668249076,-1.1033533185029356,-0.021446514141514005,0,LottoCoin
CIF,X11,PoW,211297638.500483,500000000.0,-0.2339441121614085,-0.8985031304390861,0.01248119141260298,0,Crypto Improvement Fund
SPD,C11,PoW/PoS,11251342.1879021,19340594.0,-0.383382245353469,1.0370421551140574,-0.24690687737325126,1,Stipend
POA,Proof-of-Authority,PoA,204479039.0,252460800.0,-0.24205821959851226,-1.7517508668228996,-7.250347997675836,0,Poa Network
PUSHI,X11,PoW/PoS,2167827.1,25000000.0,-0.40666678380277926,1.3314493366913644,-0.34766295636685,1,Pushi
ELP,XEVAN,PoW/PoS,419275.38,60000000.0,-0.30095068855500107,1.50053281504367,-0.3501531387379404,1,Ellerium
VLX,Scrypt,PoS,25570013.1348022,124000000.0,-0.2767771933095731,0.784567102650931,-0.15561843416011897,1,Velox
ONT,VBFT,PoS,650848625.0,1000000000.0,-0.2730540003317244,1.3349319648229923,-0.1580168618690605,1,Ontology
CLO,Ethash,PoW,247612453.0,6500000000.0,-0.10617152684333511,-2.029099681332126,0.2654247441638107,0,Callisto Network
TUBE,CryptoNight,PoW,80049082.9057215,1000000000.0,0.3092640335155409,-2.328170656021068,0.24350298274531923,0,BitTube
PSD,Scrypt,PoW,4070212.1493016,21000000.0,-0.1708781941244471,-1.0974018933700882,-0.016400776988395538,0,Poseidon
ADK,IMesh,PoW,25000000.0,25000000.0,-0.17689260223460135,-2.2988213187309126,0.1513120516229068,0,Aidos Kuneen
BSX,NIST5,PoW/PoS,13787854.6277781,50000000.0,-0.3627420746300666,1.6588432840676086,-0.4005221424586717,1,Bitspace
BRIA,Scrypt,PoW/PoS,845637.81347436,3000000.0,-0.3378405976484387,1.1323563081973704,-0.3766376348748425,1,Briacoin
IC,Scrypt,PoW/PoS,1182153.5,5000000.0,-0.3378222899489305,1.1323552883342758,-0.376637920840023,1,Ignition
BTL,Equihash,PoW,71355477.0,70000000.0,-0.1556339030820651,-2.0226538620242303,0.23338309020620088,0,Bitrolium
MEDIC,Scrypt,PoS,267297676.3125,500000000.0,-0.2711539235556262,0.7844290036661743,-0.15571005273586488,1,MedicCoin
ALPS,Lyra2Z,PoW,27340501.6514783,300000000.0,-0.15839428868144798,-2.2829959498531696,0.22428777010389186,0,Alpenschillling
BITG,Green Protocol,PoS,9803691.3618195,21000000.0,-0.34504294751691816,1.2397394383711713,-0.0019280770545378552,1,Bitcoin Green
DEV,PoS,PoS,21876586.8530324,88000000.0,-0.32455511655307706,1.3411584413245763,-0.0209339133328841,1,Deviant Coin
ABJ,Scrypt,PoW/PoS,9880502.37178894,30000000.0,-0.3375385373526552,1.1323438900443954,-0.37664244826774435,1,Abjcoin
SEM,Semux BFT consensus,DPoS,1231147.0,100000000.0,3.9008969998197673,2.286628373575077,0.38323763809867484,1,Semux
